index,filename,config,einsteinradius,ellipseratio,orientation,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,raysie,39.0691,0.8637,66.3434,SersicSphere,29.8571,193.8930,1.9044,25.5690,116.3286,1.2537,18.7729,-28.9837,-7.1690
2,image-000002.png,raysie,27.6665,0.7825,144.0443,SersicSphere,31.3294,279.8028,1.9304,27.0367,155.6897,2.5263,18.7806,5.3341,-30.8720
3,image-000003.png,raysie,39.9072,0.3492,141.2474,SersicSphere,40.9051,171.2859,2.6621,26.4890,76.8031,1.9748,18.0293,-40.4330,6.1973
4,image-000004.png,raysie,54.3646,0.8632,166.7533,SersicSphere,4.8921,254.3132,4.4029,15.4235,107.9184,4.9768,13.8672,-1.3227,-4.7099
5,image-000005.png,raysie,6.6704,0.6203,173.2313,SersicSphere,1.3407,187.7855,2.8736,20.5313,2.0560,1.7160,16.2308,-1.3284,-0.1816
6,image-000006.png,raysie,66.8987,0.1299,109.3212,SersicSphere,8.7014,0.3037,2.7064,29.2816,68.6050,2.6328,17.5760,8.7013,0.0461
7,image-000007.png,raysie,29.9801,0.6573,96.1883,SersicSphere,12.2810,215.5416,1.2179,22.6077,118.6953,4.4605,17.7769,-9.9929,-7.1389
8,image-000008.png,raysie,3.3408,0.6215,174.3855,SersicSphere,3.2682,61.2660,4.0786,13.1553,59.0434,3.7595,14.8462,1.5712,2.8657
9,image-000009.png,raysie,24.7218,0.1567,1.6302,SersicSphere,3.2724,0.6271,3.5349,14.5272,176.9300,4.3355,13.1744,3.2722,0.0358
10,image-000010.png,raysie,60.4333,0.1614,106.2609,SersicSphere,46.8691,171.6017,2.7943,20.5351,178.0199,3.6255,13.6282,-46.3665,6.8454
11,image-000011.png,raysie,6.0000,0.5878,164.4710,SersicSphere,4.4960,285.3587,4.3105,9.2522,10.9325,2.0956,16.4702,1.1908,-4.3354
12,image-000012.png,raysie,42.5802,0.2141,140.4614,SersicSphere,17.8958,292.1180,4.0447,15.7260,142.3800,2.0953,16.3968,6.7380,-16.5788
13,image-000013.png,raysie,70.7261,0.5199,70.7112,SersicSphere,29.2466,27.9838,3.9000,33.2594,5.7705,2.7070,15.1054,25.8271,13.7231
14,image-000014.png,raysie,47.9639,0.6767,13.3285,SersicSphere,7.5260,220.1848,2.2342,17.1918,158.8665,2.6063,12.7247,-5.7496,-4.8562
15,image-000015.png,raysie,9.3364,0.7299,177.6988,SersicSphere,4.4003,150.1365,3.6365,30.1310,169.4295,1.6899,18.6698,-3.8160,2.1911
16,image-000016.png,raysie,60.2233,0.8555,61.0281,SersicSphere,19.6222,144.6998,3.5235,23.5702,119.6877,4.4156,13.6715,-16.0144,11.3389
17,image-000017.png,raysie,12.2214,0.8845,71.5523,SersicSphere,4.7378,176.5078,1.1662,6.1092,119.6454,3.7329,18.8269,-4.7290,0.2886
18,image-000018.png,raysie,5.3099,0.2862,35.2923,SersicSphere,4.6204,17.8446,3.7811,29.0954,26.9714,4.7565,10.8418,4.3981,1.4159
19,image-000019.png,raysie,44.8758,0.7254,91.6273,SersicSphere,42.2457,51.6976,1.1033,31.4772,44.7402,4.4042,19.9582,26.1844,33.1523
20,image-000020.png,raysie,44.7014,0.4437,132.3821,SersicSphere,42.1474,121.2700,4.2417,36.2215,109.8771,1.0062,10.5221,-21.8775,36.0246
21,image-000021.png,raysie,25.7426,0.4685,57.7012,SersicSphere,8.8951,64.7997,3.7166,39.9014,45.3288,4.5888,18.5044,3.7874,8.0485
22,image-000022.png,raysie,40.7714,0.3550,167.0777,SersicSphere,18.1229,26.2133,2.7949,10.0385,29.0285,2.7494,14.2977,16.2591,8.0052
23,image-000023.png,raysie,73.0761,0.8891,57.6406,SersicSphere,57.4952,20.0106,4.3422,31.1071,84.2959,1.2293,17.5822,54.0242,19.6745
24,image-000024.png,raysie,10.6054,0.2139,140.2447,SersicSphere,7.7688,32.2118,4.2288,5.9528,113.1660,1.0023,19.5049,6.5731,4.1412
25,image-000025.png,raysie,38.4551,0.7023,34.2134,SersicSphere,22.5830,236.9836,3.6208,1.1432,33.8504,3.7943,15.6347,-12.3050,-18.9362
26,image-000026.png,raysie,29.2135,0.8717,98.3225,SersicSphere,13.9655,153.8308,1.5365,18.7887,49.4105,4.5600,18.9372,-12.5339,6.1591
27,image-000027.png,raysie,45.9071,0.2521,63.9348,SersicSphere,15.6471,335.7172,2.4601,35.0580,143.3818,4.7514,10.7513,14.2628,-6.4347
28,image-000028.png,raysie,50.3285,0.4555,164.9856,SersicSphere,45.9757,128.1566,3.5128,19.1901,82.7487,3.2848,19.7317,-28.4043,36.1518
29,image-000029.png,raysie,67.2386,0.4703,127.0060,SersicSphere,25.5029,252.6121,2.5751,19.2996,94.3110,1.3359,18.0694,-7.6213,-24.3375
30,image-000030.png,raysie,66.4350,0.5029,159.9114,SersicSphere,3.0013,347.1156,3.1142,25.4904,90.3977,3.5906,13.1786,2.9258,-0.6693
31,image-000031.png,raysie,16.1967,0.8582,110.2259,SersicSphere,1.3439,168.6527,4.2586,14.4050,134.1178,3.1856,17.4007,-1.3176,0.2644
32,image-000032.png,raysie,52.6196,0.1992,90.7052,SersicSphere,11.3186,337.6631,2.9859,13.2228,128.5075,4.0405,13.7476,10.4693,-4.3017
33,image-000033.png,raysie,72.2152,0.7935,71.0264,SersicSphere,28.2151,338.5548,2.8766,19.3686,169.5375,4.2434,11.9057,26.2617,-10.3157
34,image-000034.png,raysie,54.7652,0.4935,37.6610,SersicSphere,22.2537,44.6241,4.5112,29.1572,87.2268,2.8976,19.5133,15.8387,15.6322
35,image-000035.png,raysie,64.2160,0.4429,113.9753,SersicSphere,38.2014,201.4572,1.0732,33.6909,61.7837,1.0404,15.2633,-35.5537,-13.9743
36,image-000036.png,raysie,69.9317,0.6137,150.2702,SersicSphere,32.7690,54.6314,3.8842,24.2238,72.5090,2.9118,14.6057,18.9678,26.7213
37,image-000037.png,raysie,54.5186,0.6968,106.7748,SersicSphere,52.1468,296.5888,3.2113,23.9458,94.0800,4.1202,12.7143,23.3401,-46.6318
38,image-000038.png,raysie,61.5883,0.5266,162.6021,SersicSphere,13.7857,352.0230,1.1019,2.5042,50.2517,1.8878,12.3695,13.6523,-1.9131
39,image-000039.png,raysie,4.7351,0.7509,15.1305,SersicSphere,1.9217,120.8638,3.0794,30.8737,119.8267,1.2916,12.9424,-0.9859,1.6496
40,image-000040.png,raysie,47.4149,0.6723,105.8759,SersicSphere,27.9639,196.6856,2.3357,2.4757,134.8224,4.6378,16.9320,-26.7865,-8.0290
41,image-000041.png,raysie,29.5187,0.7435,80.2565,SersicSphere,24.0705,263.2163,1.6648,9.6414,173.3367,2.0842,14.1101,-2.8433,-23.9019
42,image-000042.png,raysie,26.7868,0.6701,82.8116,SersicSphere,9.2418,99.5040,1.3989,12.0145,8.7608,4.3782,15.8955,-1.5260,9.1150
43,image-000043.png,raysie,24.0925,0.7222,150.4290,SersicSphere,4.2798,223.3761,4.6711,19.9202,159.3690,3.1724,11.1281,-3.1108,-2.9393
