filename,sigma,xiX,xiY,alpha[0][1],beta[0][1],alpha[1][0],alpha[1][2],beta[1][2],alpha[2][1],beta[2][1],alpha[2][3],beta[2][3],alpha[3][0],alpha[3][2],beta[3][2],alpha[3][4],beta[3][4],alpha[4][1],beta[4][1],alpha[4][3],beta[4][3],alpha[4][5],beta[4][5]
image-009754.png,3.754951,-11.617879,9.379583,36.183277,-2.799419,-0.28205994,0.27518725,0.028831696,-0.009028236,0.0044231038,0.008737264,-0.0006578446,-0.0002187667,-0.00023625622,0.00027625478,0.0004387766,-0.00010352696,-2.458511e-05,7.979778e-06,-7.383176e-06,2.0200552e-05,3.08469e-05,-1.1740723e-05
image-006853.png,4.6267686,9.760483,-10.1360445,-56.46645,67.302246,-0.2516377,-0.021006688,-0.24283405,0.00038334343,-0.0026763347,0.0019567444,0.0008658391,-2.1552278e-05,2.5478543e-05,3.7282286e-06,-2.1084314e-05,1.6180375e-05,5.849269e-07,-5.032474e-07,-3.630089e-08,7.039573e-07,-1.3627027e-07,-3.7357955e-07
image-004878.png,1.171703,12.937383,62.09322,-25.6462,-93.35987,-0.20979407,-0.19497843,0.07531981,0.00028142155,0.0024086444,0.001210207,0.0020751718,-1.7021557e-05,2.6550302e-05,-5.9491394e-06,3.362374e-05,-2.7500742e-05,1.8330462e-07,6.3331663e-07,-9.255041e-08,-4.6703553e-07,-8.017595e-07,-7.315827e-07
image-001064.png,4.80597,0.011876643,0.7112615,-12.241116,-60.302498,-0.20366222,-0.1949352,0.057682287,0.0040284167,0.0016351399,0.002044004,0.0014676143,-4.1769297e-05,-3.3400265e-05,-6.5131084e-05,4.1097837e-06,-4.5134413e-05,-1.038051e-05,2.657659e-06,-6.340616e-06,3.5525675e-06,-2.0257664e-06,1.0296753e-06
image-010451.png,3.3741393,-0.2956059,0.65195906,-85.38194,55.82452,-0.20643651,0.055256486,-0.19854446,0.0017825292,0.0004318098,-3.4268305e-06,0.0012436719,-1.765741e-05,-1.2734488e-05,-1.5751442e-05,-8.738634e-07,-9.86425e-06,6.198328e-07,2.2128927e-07,1.2683836e-07,3.4548145e-07,1.4235866e-09,9.9349876e-08
image-004563.png,3.5104172,7.741704,-56.732357,-29.61025,94.85171,-0.35978806,-0.25323516,-0.2214702,0.0013278676,-0.0044903895,0.0038093412,-0.0015709087,-1.6721155e-05,6.759001e-05,5.9672027e-05,-1.40451475e-05,8.988673e-05,7.7585975e-07,-3.5050618e-07,-2.723096e-06,1.2873041e-06,-2.327664e-06,-2.0329094e-06
image-003452.png,1.3061363,-2.0451093,0.20052145,12.65674,114.007225,-0.32460552,-0.2995835,-0.029687652,-0.0012429126,-0.0025772173,1.8645467e-05,-0.0022208223,9.828924e-06,4.788276e-05,-6.5183804e-06,3.1303083e-05,4.712434e-06,1.3957645e-06,5.1194263e-07,5.37185e-07,1.3822082e-06,-1.3182e-07,7.114298e-07
image-004374.png,2.4200344,-0.9081965,0.5606146,62.008793,95.41213,-0.24011995,-0.055340983,0.23301288,-0.0003104316,-0.0014758233,-0.0013058414,0.0003789019,-1.1954326e-06,9.608127e-06,-1.0180459e-05,-1.0400524e-05,-8.75515e-06,-1.3349046e-07,8.559181e-08,2.352433e-07,8.981249e-08,2.966101e-08,-1.9931989e-07
image-002564.png,4.9885397,-0.44326147,1.2123144,-65.58955,-40.18519,-0.1973194,0.084804654,0.17540997,0.0015583528,0.0012969992,0.00038764332,-0.0019222,-1.2687724e-05,-2.1239694e-06,-2.199641e-05,-2.5484911e-05,2.020751e-05,3.6606588e-07,3.099016e-07,-2.8204977e-07,2.837562e-07,7.827698e-07,5.965339e-08
image-003904.png,4.4568777,-0.41772315,0.23341551,-51.844986,67.97743,-0.18074493,-0.01843585,-0.17932433,0.0007182649,-0.0012390376,0.0011794063,0.0007475599,-5.696311e-06,5.246381e-06,1.12723765e-05,-1.6537157e-05,5.326953e-06,9.240637e-08,-1.1623532e-07,-1.6772697e-07,-3.1683044e-08,1.1556381e-07,-2.771538e-07
